scenario,accuracy_final,epochs,latency_mean_ms,latency_p95_ms,loss_final
steady_train,0.000000,3.000000,4.351255,6.266741,0.000000
rollback_deadline,1.000000,12.000000,16.000000
tamiyo_timeout,2.000000,0.000000,1.000000
kasmina_prefetch_burst,41.110443,40.693901,41.089040,64.000000
